block,code,prime,target,type
0,T401,sima,DOWS,nw
0,T402,koba,HAWN,nw
0,T403,tanen,DOPIN,nw
0,T404,selas,LANDY,nw
0,T405,kadai,TOZEL,nw
0,T406,kaspor,CANGER,nw
0,T407,pensis,MEMORT,nw
0,T408,bumi,BUMP,nei
0,T409,saat,SEAT,nei
0,T410,skala,SCALE,tra
0,T411,sobat,BUDDY,tra
0,T412,tangan,SEASON,unr
0,T413,akrobat,ACROBAT,cog
0,T414,jasa,SIZE,unr
0,T415,barat,VALUE,unr
0,T416,cara,CARD,nei
